sample_id,split,region,root_abs,power_abs,dI_dV_rel,dI_dIL_rel,dI_dI0_rel,dI_da_rel,dI_dRs_rel,dI_dRsh_rel,residual,exp_argument,status
pvext_0001716,cal,short_circuit,1.7763568394002505e-15,0,1.6708479421839863e-16,1.1110602830804955e-16,0,2.0012316358288628e-16,1.2251177019719764e-16,1.5863206784951717e-16,8.9164786665207885e-16,3.9157250519265423,0
pvext_0001717,cal,open_circuit,3.8857805861880479e-15,1.5276668818842154e-13,1.8259149631103321e-16,7.7646406497061962e-16,3.0027454680665809e-16,2.6901788806278068e-16,8.0013940196169091e-15,8.0004327202735801e-16,4.1355807667287081e-15,21.744468568288845,0
pvext_0001726,cal,mpp_near,1.7763568394002505e-15,0,1.6625363457566918e-15,1.2101368209312852e-16,1.5821336039769003e-15,1.7677703249084455e-15,1.4977367299690058e-15,0,4.4408920985006262e-16,18.91693662046168,0
pvext_0001727,cal,interior,8.8817841970012523e-16,7.1054273576010019e-15,1.1578682807770045e-16,0,2.6561814744719153e-16,4.0237111154660491e-16,2.6801195614860769e-16,0,6.6439909129911712e-16,3.3234167957477099,0
pvext_0001736,cal,short_circuit,1.7763568394002505e-15,0,0,0,1.2464892985903759e-16,0,1.3078783498837709e-16,0,1.5291587440735555e-15,0.36847136171216061,0
pvext_0001737,cal,open_circuit,7.5113526509795747e-15,4.234390615920347e-13,7.2853387674539865e-16,3.89840426650862e-16,6.2428726847892622e-16,6.9024026221137325e-16,4.7695326321237322e-13,2.0454357219093457e-16,5.8286708792820718e-16,28.171304818647197,0
pvext_0001746,cal,mpp_near,1.7763568394002505e-15,0,1.8202393140939525e-15,2.3915563424897767e-16,1.8684060514705829e-15,1.6707421128997539e-15,1.6137067801542637e-15,2.3304752633173073e-16,4.9960036108132044e-16,21.511277701344451,0
pvext_0001747,cal,interior,0,0,1.2482876689311417e-16,0,2.3416056772389632e-16,1.9496685859208352e-16,0,1.4589140541599457e-16,5.1000870193718129e-16,3.4451062364213798,0
pvext_0001756,cal,short_circuit,0,0,0,2.2218909471219567e-16,2.1792645892111208e-16,1.3332901697642133e-16,0,1.7709488924571486e-16,4.8355416892853498e-17,0.41196393611692017,0
pvext_0001757,cal,open_circuit,2.5059706913743707e-15,1.1400776156467174e-13,9.2231739852996977e-16,2.0350352441008194e-15,1.204541401386635e-15,9.6959171775382638e-16,1.1574705347773482e-11,1.7742488341924565e-15,2.0913826226376386e-14,21.318829640321024,0
