domain,sample_id,branch,valid_steps,best_relative_error,convergence_observed
bem,bem_0001937,smooth,7,1.3307676643803515e-10,1
bem,bem_0001946,smooth,7,1.229389166655099e-10,1
bem,bem_0001947,smooth,7,1.2533127510030319e-10,1
bem,bem_0001956,smooth,7,1.1221717499755398e-10,1
bem,bem_0001957,smooth,7,9.489201760360621e-11,1
bem,bem_0001966,smooth,7,1.3136575320180752e-10,1
bem,bem_0001967,smooth,7,1.414149030047252e-10,1
bem,bem_0001976,smooth,7,7.266366625930168e-11,1
bem,bem_0001977,smooth,7,1.3150682668078436e-10,1
bem,bem_0001986,smooth,7,1.0311435223468019e-10,1
bem,bem_0001987,smooth,7,1.2736820518923146e-10,1
bem,bem_0001996,smooth,7,1.2734203722177726e-10,1
bem,bem_0001997,smooth,7,1.4038817328802878e-10,1
bem,bem_0002006,smooth,7,1.35808152102062e-10,1
bem,bem_0002007,smooth,7,1.4552209757449502e-10,1
bem,bem_0002016,smooth,7,1.3206007920633783e-10,1
bem,bem_0002017,smooth,7,1.4479922630620563e-10,1
bem,bem_0002026,smooth,7,1.307585298214518e-10,1
bem,bem_0002027,smooth,7,1.349546709808916e-10,1
bem,bem_0002036,smooth,7,1.282136292357576e-10,1
bem,bem_0002037,smooth,7,1.1014344206144905e-10,1
bem,bem_0002046,smooth,7,9.023986417666966e-11,1
bem,bem_0002047,smooth,7,1.4474634231252234e-10,1
bem,bem_0002056,smooth,7,1.442246667380518e-10,1
bem,bem_0002057,smooth,7,1.1813602326338328e-10,1
bem,bem_0002066,smooth,7,1.3596048345077478e-10,1
bem,bem_0002067,smooth,7,1.4411950256295296e-10,1
bem,bem_0002076,smooth,7,1.0558037647233368e-10,1
bem,bem_0002077,smooth,7,1.0576355519544916e-10,1
bem,bem_0002086,smooth,7,2.344580402986536e-10,1
bem,bem_0002087,smooth,7,1.319278508525359e-10,1
bem,bem_0002096,smooth,7,1.353271696480598e-10,1
bem,bem_0002097,smooth,7,1.3050565710302102e-10,1
bem,bem_0002106,smooth,7,2.8316149204594145e-10,1
bem,bem_0002107,smooth,7,1.252676995652542e-10,1
bem,bem_0002116,smooth,7,7.173357455377301e-11,1
bem,bem_0002117,smooth,7,1.3695844389073075e-10,1
bem,bem_0002126,smooth,7,1.5509879323408302e-10,1
bem,bem_0002127,smooth,7,1.3515355117083925e-10,1
bem,bem_0002136,smooth,7,1.3043451771636074e-10,1
bem,bem_0002137,smooth,7,1.225690654543551e-10,1
bem,bem_0002146,smooth,7,1.2677410983637812e-10,1
bem,bem_0002147,smooth,7,1.660643936091336e-10,1
bem,bem_0002156,smooth,7,4.1692865909556085e-11,1
bem,bem_0002157,smooth,7,1.3819802244609373e-10,1
bem,bem_0002166,smooth,7,9.494276600192701e-11,1
bem,bem_0002167,smooth,7,1.351135575771494e-10,1
bem,bem_0002176,smooth,7,1.5068378543063144e-10,1
bem,bem_0002177,smooth,7,1.2059399674424195e-10,1
bem,bem_0002186,smooth,7,1.296495839125668e-10,1
bem,bem_0002187,smooth,7,1.3804717676648073e-10,1
bem,bem_0002196,smooth,7,1.357168682030115e-10,1
bem,bem_0002197,smooth,7,1.2295682751216042e-10,1
bem,bem_0002206,smooth,7,1.7119329144752012e-10,1
bem,bem_0002207,smooth,7,1.406370455698078e-10,1
bem,bem_0002216,smooth,7,1.821805940634388e-11,1
bem,bem_0002217,smooth,7,1.1956021489735785e-10,1
bem,bem_0002226,smooth,7,1.2391721874971818e-10,1
bem,bem_0002227,smooth,7,1.119649252336822e-10,1
bem,bem_0002236,smooth,7,1.2079431018654388e-10,1
bem,bem_0002237,smooth,7,1.3737535707667253e-10,1
bem,bem_0002246,smooth,7,1.769913128660688e-10,1
bem,bem_0002247,smooth,7,1.404526413437332e-10,1
bem,bem_0002256,smooth,7,1.196471090025779e-10,1
bem,bem_0002257,smooth,7,2.0370795619506387e-10,1
bem,bem_0002266,smooth,7,1.2800604037902545e-10,1
bem,bem_0002267,smooth,7,1.6678586335266646e-10,1
bem,bem_0002276,smooth,7,1.3101262752802205e-10,1
bem,bem_0002277,smooth,7,1.2207562121561107e-10,1
bem,bem_0002286,smooth,7,1.152567694583399e-10,1
bem,bem_0002287,smooth,7,1.5723265172887547e-10,1
bem,bem_0002296,smooth,7,1.4862127837279045e-10,1
bem,bem_0002297,smooth,7,1.7274259520736474e-10,1
bem,bem_0002306,smooth,7,1.4820329119701329e-10,1
bem,bem_0002307,smooth,7,1.412734117934004e-10,1
bem,bem_0002316,smooth,7,1.6765317420752154e-10,1
bem,bem_0002317,smooth,7,1.3523015281188296e-10,1
bem,bem_0002326,smooth,7,1.296704780029719e-10,1
