split,path,gate,index,accepted,truth_good,false_accept,false_reject,root_abs,rho,tightness,beta,h,branch_distance,gradient_bound,residual,bracket,status
cal,fp32,residual,40,0,0,0,0,6.1021094666102726e-07,6.107102072524929e-07,1.000818177048769,6.1021122241583732e-07,2.4200533818264163e-06,1.6581625526019666e-06,0,6.14850098656375e-07,0,1
cal,fp32,residual,41,0,0,0,0,5.3976945979528068e-07,5.399540898429057e-07,1.0003420535272505,5.3976973830230238e-07,7.2510351202901054e-06,0.0023615624126934586,0,5.2229485889508327e-07,0,1
cal,fp32,residual,42,0,0,0,0,2.4730089931424004e-07,2.4780080250279228e-07,1.0020214370022045,2.4730094694365679e-07,3.4751257538694727e-06,2.3831664558789384e-06,0,3.0150037220064211e-07,0,1
cal,fp32,residual,43,0,1,0,1,7.4145408035519722e-08,7.4645405370984461e-08,1.0067434700099731,7.4145436048291294e-08,3.5001308906172036e-07,0.00021876526656263635,2.6251284816452602e-08,8.0899399509061421e-08,1,1
cal,fp32,residual,44,0,0,0,0,1.1863974660464294e-06,1.1871308828878403e-06,1.0006181881387988,1.1864001775381373e-06,3.5920604360906076e-05,0.0061766471330740973,0,1.0734620960413199e-06,0,1
cal,fp32,residual,45,0,1,0,1,7.1648307731209115e-08,7.2148307731209113e-08,1.006978531884881,7.1648326264480306e-08,1.7296099068691151e-12,0.64465633633368125,8.6718412611697199e-08,1.1203483574551729e-07,1,1
cal,fp32,residual,46,0,0,0,0,8.4103797259871271e-07,8.4205572954713879e-07,1.0012101200915833,8.4103685751307025e-07,2.19559850912612e-05,0.0043028907505452052,0,7.102378710154837e-07,0,1
cal,fp32,residual,47,0,0,0,0,5.200167958463453e-07,5.2071775864830037e-07,1.0013479618496057,5.2001656718305076e-07,8.1109586627502867e-06,0.0085059504344976531,0,5.1516461629640121e-07,0,1
cal,fp32,residual,48,1,1,0,0,4.1561318386840185e-08,4.2023777749574717e-08,1.0111271581529273,4.156134858289049e-08,7.5935715421590361e-07,0.0053852430071777615,9.0019964921457335e-08,3.719809272265268e-08,1,1
cal,fp32,residual,49,0,0,0,0,5.2090777780122721e-07,5.2140777824531646e-07,1.0009598636560961,5.2090709578880544e-07,2.8769151079091337e-05,1.1962864545862047e-06,0,6.7956897284727892e-07,0,1
cal,fp32,residual,50,0,0,0,0,1.2186284203963282e-06,1.2196649698678475e-06,1.0008505869830133,1.2186256965186005e-06,4.3552514951457017e-05,2.2869722854314062e-06,0,1.0907757546828861e-06,0,1
cal,fp32,residual,51,0,0,0,0,7.4049405007770019e-07,7.5548204585510696e-07,1.0202405350533661,7.4483692349548087e-07,0.027783922289269073,3.2929273786803347e-07,0,9.1071823182605023e-07,0,1
cal,fp32,residual,52,0,0,0,0,7.2509711657176013e-07,7.2559254733788002e-07,1.0006832612553505,7.2509656218137154e-07,1.802942679347844e-05,1.8139360049114433e-06,0,1.1120335613025902e-06,0,1
cal,fp32,residual,53,0,0,0,0,1.4553083094170916e-07,1.4601745275426243e-07,1.0033437712779101,1.4553093713544085e-07,5.219205281490568e-07,6.0204793856467436e-07,0,1.4669500025087435e-07,0,1
cal,fp32,residual,54,0,0,0,0,2.1524732041200423e-07,2.1565659964777002e-07,1.0019014370770443,2.1524718814426323e-07,1.3977994803602347e-05,2.1119791712526189e-06,0,4.6857988584911176e-07,0,1
cal,fp32,residual,55,0,0,0,0,8.900874353123811e-07,8.9044581215473549e-07,1.0004026310541376,8.9008441327913702e-07,5.7794152438603742e-05,2.1119791716982912e-06,0,1.9376593975333988e-06,0,1
cal,fp32,residual,56,0,1,0,1,6.0768088339102633e-08,6.1268088339102631e-08,1.0082280027834651,6.0768119864016858e-08,4.9838128841314385e-06,0.0028695586987375577,6.0923056478534718e-07,1.2439524702628168e-07,1,1
cal,fp32,residual,57,0,0,0,0,1.130554274197948e-06,1.1310103813086248e-06,1.0004034367222223,1.1305543006146965e-06,4.0071628227457472e-11,0.48867264988653769,0,1.5050295366667187e-06,0,1
cal,fp32,residual,58,0,0,0,0,3.9562337583731733e-07,4.3618137186588539e-07,1.1025166825461945,3.9339913501005449e-07,0.17692640616156777,6.6319441247744668e-08,0,9.1159532003937809e-07,0,1
cal,fp32,residual,59,0,0,0,0,6.4315953984817043e-07,6.4390154981579193e-07,1.0011536950346669,6.4315969524565666e-07,6.1369782726098186e-06,1.1244889160595977e-06,0,6.4542154258523338e-07,0,1
