index,h_relative,near_knot,fd,min_side_relative_error,branch_change,status
318,0.001,0,0.01267499285075107,5.9057846125601509e-08,0,1
319,0.001,0,0.036421096048409859,3.6501143002321454e-07,0,1
320,0.001,1,0.014531935594263299,0.033331491563783851,0,1
321,0.001,0,0.029339957185462714,1.7438420072494494e-09,0,1
322,0.001,0,0.015131977043620853,3.6396552773272274e-08,0,1
323,0.001,1,0.015846444509043416,0.023311182017648469,0,1
324,0.001,0,0.013316222106355802,6.8342840313915394e-08,0,1
325,0.001,1,0.031585379596468378,0.0054597361227278485,0,1
326,0.001,0,0.01440839971491293,7.9504774671785321e-08,0,1
327,0.001,0,0.015798641050355774,6.4994964349104786e-07,0,1
328,0.001,0,0.031135693455180281,7.8705164544791609e-08,0,1
329,0.001,1,0.015067428302454902,0.013636177555541664,0,1
330,0.001,0,0.013687952214892923,3.0714625620676856e-08,0,1
331,0.001,1,0.015623158202892501,0.00086838808743420776,0,1
332,0.001,0,0.014794924704662904,5.7544724645563939e-08,0,1
333,0.001,0,0.014834062214257726,2.793746462575757e-08,0,1
334,0.001,0,0.012869584301454252,2.8983814415972066e-07,0,1
335,0.001,0,0.012421756836863796,8.4413334171594062e-08,0,1
336,0.001,0,0.014823645922831304,2.2207412237832433e-08,0,1
337,0.001,1,0.012547683078872005,0.030415419445900847,0,1
338,0.001,0,0.026944517631304954,1.9574517164985378e-07,0,1
339,0.001,0,0.022399780300028153,6.8072805086705003e-07,0,1
340,0.001,0,0.034039477027060658,3.7190066101005448e-08,0,1
341,0.001,0,0.037149521450613739,1.0455043589721774e-07,0,1
342,0.001,1,0.013573915317436784,0.014654205509564188,0,1
343,0.001,0,0.014042286932991846,1.3648485109103106e-07,0,1
344,0.001,0,0.014729767619196414,9.1104154083334856e-07,0,1
345,0.001,0,0.016727516645935189,8.5541286790996758e-08,0,1
346,0.001,1,0.02058489057203864,0.0040605681204604243,0,1
347,0.001,1,0.013567243643864118,0.027198962735046218,0,1
348,0.001,1,0.020133911442686617,0.0040708832146674435,0,1
349,0.001,0,0.041442819469217115,6.1477821605529324e-08,0,1
350,0.001,1,0.018920758882639575,0.002937672765023961,0,1
351,0.001,0,0.028015744948153332,1.0489245026875355e-08,0,1
352,0.001,1,0.012354847055610007,0.03140020045376047,0,1
353,0.001,0,0.034957981576023207,8.2640276403930352e-09,0,1
354,0.001,0,0.040942361967717181,2.3716284454699229e-07,0,1
355,0.001,0,0.014776072686408679,3.8967715334221996e-08,0,1
356,0.001,1,0.01576768423964282,0.032356219602153929,0,1
357,0.001,0,0.014829026715158903,7.5667683876688909e-08,0,1
358,0.001,0,0.047343087194368166,1.5023298502550018e-07,0,1
359,0.001,0,0.040297808056316178,3.9015081730346024e-08,0,1
360,0.001,0,0.017049276741254726,8.0098374615759826e-08,0,1
361,0.001,0,0.022847677683107807,8.5557047323069061e-08,0,1
362,0.001,0,0.019002866505230902,8.4595139578438891e-08,0,1
363,0.001,0,0.017087804374812721,1.0418667963604033e-07,0,1
364,0.001,1,0.017373707549456777,0.0011025086533672764,0,1
365,0.001,0,0.042736999140498035,4.6093408353882786e-07,0,1
366,0.001,0,0.045149445424897572,1.8506456606294377e-07,0,1
367,0.001,0,0.015440013596386349,1.0633131851912803e-06,0,1
368,0.001,0,0.016794689605274638,1.1447424162933728e-08,0,1
369,0.001,1,0.018140254118244371,0.035726376413327501,0,1
370,0.001,1,0.016388581774775004,0.00096996215497689817,0,1
371,0.001,0,-0.063248674407982319,1.9339203318742852e-07,0,1
372,0.001,0,0.016460856912540123,1.2778764782541814e-07,0,1
373,0.001,1,0.01555701974100592,0.023781290437968724,0,1
374,0.001,0,0.02928939647373845,1.1999693088240042e-05,0,1
375,0.001,0,0.012773931657793249,4.0465039976445791e-07,0,1
376,0.001,0,0.022998456663615864,7.412964417113698e-08,0,1
377,0.001,1,0.018159268105060848,0.0082943912070047518,0,1
378,0.001,0,0.029932681222089842,1.1897477835926725e-05,0,1
379,0.001,0,0.10445880919810192,0.00064471339782967176,0,1
