effective_irradiance_W_m2,cell_temperature_C,IL_A,I0_A,Rs_ohm,Rsh_ohm,nNsVth_V,i_sc,v_oc,i_mp,v_mp,p_mp
250,25,1.278565,8.102508e-10,1.066023,1525.0177,2.635926,1.277671876960689,55.75090580224673,1.180441001212045,46.7812975375774,55.22256170325643
300,25,1.534278,8.102508e-10,1.066023,1270.848083333334,2.635926,1.532992082568435,56.23082396482482,1.416134889476308,47.01114752770572,66.57412620830195
350,25,1.789991,8.102508e-10,1.066023,1089.298357142857,2.635926,1.788240968040954,56.63658885780501,1.651619228406283,47.17098936316955,77.90851305515909
400,25,2.045704,8.102508e-10,1.066023,953.1360625000001,2.635926,2.04341856325576,56.98807829811221,1.886883359182898,47.27967135358169,89.21122510470967
450,25,2.301417,8.102508e-10,1.066023,847.2320555555557,2.635926,2.298524898073496,57.29811388157214,2.121918235885555,47.34935878440054,100.4714678621074
500,25,2.55713,8.102508e-10,1.066023,762.5088500000001,2.635926,2.553560002337922,57.57545010163585,2.35671560520832,47.38836698920116,111.6809039887892
550,25,2.812843,8.102508e-10,1.066023,693.1898636363636,2.635926,2.808523905875907,57.82633118079866,2.591267733663411,47.40263224390802,122.8329114243517
600,25,3.068556,8.102508e-10,1.066023,635.4240416666668,2.635926,3.063416638497412,58.05536762110569,2.825567242518109,47.39654099289046,133.922113638178
650,25,3.324269,8.102508e-10,1.066023,586.5452692307693,2.635926,3.31823822999548,58.26606068801425,3.059606902686614,47.37342809280361,144.9440675966698
700,25,3.579982,8.102508e-10,1.066023,544.6491785714286,2.635926,3.572988710146215,58.46113197007253,3.293379492919027,47.33588967458489,155.8950483333554
750,25,3.835695,8.102508e-10,1.066023,508.3392333333334,2.635926,3.82766810870876,58.64273896373084,3.526877949317684,47.28598431860832,166.7718954050815
800,25,4.091408,8.102508e-10,1.066023,476.56803125,2.635926,4.082276455425274,58.81262093893383,3.760094921963596,47.22537706667183,177.5719004962088
