e,M_rad,E_rad,residual,condition_dE_dM,x_over_a,y_over_a
0.024358974358974359,2.3598334667821984e-09,2.4187517793562614e-09,0,1.0249671484888305,0.97564102564102562,2.4180340780440844e-09
0.024358974358974359,3.3529241492495529e-09,3.4366371043556524e-09,4.1359030627651384e-25,1.0249671484888305,0.97564102564102562,3.4356173722027615e-09
0.024358974358974359,4.763938010401341e-09,4.8828799580986148e-09,0,1.0249671484888305,0.97564102564102562,4.8814310912148614e-09
0.024358974358974359,6.7687500094585413e-09,6.9377463960284652e-09,0,1.0249671484888305,0.97564102564102562,6.935687801287791e-09
0.024358974358974359,9.6172487111529449e-09,9.8573639877783142e-09,0,1.0249671484888305,0.97564102564102562,9.8544390728990711e-09
0.024358974358974359,1.3664483492953244e-08,1.4005646681344981e-08,0,1.0249671484888305,0.97564102564102551,1.4001490872102015e-08
0.024358974358974359,1.9414919457438816e-08,1.9899654634431375e-08,0,1.0249671484888305,0.97564102564102539,1.9893749932524842e-08
0.024358974358974359,2.7585316176291869e-08,2.8274042861376685e-08,0,1.0249671484888305,0.97564102564102517,2.8265653278850957e-08
0.024358974358974359,3.9194067748472212e-08,4.0172631857829603e-08,6.6174449004242214e-24,1.0249671484888305,0.97564102564102484,4.0160711680304949e-08
0.024358974358974359,5.5688139909452668e-08,5.7078513967638737e-08,0,1.0249671484888303,0.97564102564102395,5.7061577411882422e-08
0.024358974358974359,7.9123426189813264e-08,8.1098912520439346e-08,0,1.0249671484888303,0.97564102564102229,8.1074848539823793e-08
