sample_id,branch,e,M_rad,orekit_E_rad,mpmath_E_rad,absolute_error,orekit_residual
kepler_0001636,difficult,0.99999999989210153,0.00048744426800830475,0.14305626094150897,0.14305626094150845,5.2735593669694936e-16,1.8973538018496328e-17
kepler_0001637,high_e,0.93116033761534467,0.41182397410445737,1.311967807752179,1.311967807752179,0,1.1102230246251565e-16
kepler_0001638,ordinary,0.39769353415790726,2.8652452252474792,2.9435080373348446,2.9435080373348446,0,0
kepler_0001639,ordinary,0.72537824393424422,1.0257985886697958,1.7407286409848408,1.7407286409848408,0,0
kepler_0001640,difficult,0.999999978329981,0.00016346262449520133,0.099370958183320382,0.099370958183321298,9.1593399531575415e-16,6.5594231435373018e-18
kepler_0001641,high_e,0.97098788598821417,2.0833446355644325,2.5911959503981032,2.5911959503981032,0,0
kepler_0001642,ordinary,0.50889112591077068,0.33973915985862463,0.64615195506605738,0.64615195506605738,0,5.5511151231257827e-17
kepler_0001643,ordinary,0.19163245201689463,1.1969588146532379,1.38530391823948,1.38530391823948,0,0
kepler_0001644,difficult,0.99999999980734611,3.2359161134966433e-07,0.012475258487793468,0.012475258487787201,6.267555918704204e-15,5.1256081220725849e-19
kepler_0001645,high_e,0.91959905613833803,2.9106116401341753,3.0211254297262031,3.0211254297262031,0,0
