method,index,near_knot,multi_root,root_abs,residual,status,path
fp32,243,1,0,1.3614441316533998e-06,1.7402475577540058e-06,1,0
fp32,244,0,0,2.0977380055242634e-07,2.5977263085064095e-07,1,0
fp32,245,1,0,1.2870923544738844e-06,1.6458690070409802e-06,1,0
fp32,246,0,0,1.8435950499551268e-07,1.9394569905992136e-07,1,0
fp32,247,1,0,1.71945073290658e-06,1.9940976661109739e-06,1,0
fp32,248,1,0,5.4112052616517303e-08,5.8326115131009411e-08,1,0
fp32,249,0,0,1.2092437495780928e-07,1.3829659080974749e-07,1,0
fp32,250,0,0,3.2616582368305558e-07,3.9318915536787006e-07,1,0
fp32,251,0,0,9.8186938712885308e-07,1.1564455924927418e-06,1,0
fp32,252,0,0,4.8102649952141974e-07,5.5220412006654164e-07,1,0
fp32,253,1,0,6.2423829749747028e-07,6.1771962357310224e-07,1,0
fp32,254,0,0,1.1947290179392667e-07,1.3466340383893926e-07,1,0
fp32,255,1,0,4.1465447520039334e-08,5.1541468558090099e-08,1,0
fp32,256,0,0,1.0437428454856956e-06,1.3544972238309077e-06,1,0
fp32,257,1,0,2.2413555651468187e-06,1.9858654416534637e-06,1,0
fp32,258,1,0,7.8731232644457805e-07,8.7329039678936966e-07,1,0
fp32,259,0,0,2.819899052042274e-07,3.5025128722095576e-07,1,0
fp32,260,1,0,4.0589716032712886e-07,4.8373454194035804e-07,1,0
fp32,261,1,0,1.2617841886886083e-06,1.5352974364721541e-06,1,0
fp32,262,0,0,1.0912365233650689e-08,6.9707999705848067e-08,1,0
fp32,263,0,0,1.1344412582658947e-06,1.8651895756782721e-06,1,0
fp32,264,0,0,8.3979523157751146e-07,1.3501177318353541e-06,1,0
fp32,265,1,0,1.2497302885883244e-06,1.5487455175085759e-06,1,0
fp32,266,0,0,5.7148301069176455e-07,4.9989639635530589e-07,1,0
fp32,267,0,0,6.0496500786655361e-07,7.3052002591251859e-07,1,0
fp32,268,0,0,1.2673881810698617e-07,1.6442705942113943e-07,1,0
fp32,269,0,0,1.8001980035542431e-06,1.5794886279445834e-06,1,0
fp32,270,0,0,2.877271905177281e-07,1.0780338308702397e-06,1,0
fp32,271,0,0,6.3654193160900263e-07,1.7550466940852161e-06,1,0
fp32,272,1,0,1.0993232879563664e-06,1.4573580542725666e-06,1,0
fp32,273,0,0,1.4900791400762614e-06,1.7695078108274645e-06,1,0
fp32,274,0,0,5.5910698293359928e-08,5.7602072608334184e-08,1,0
