domain,n,method,timing_kind,speedup_median,ci95_low,ci95_high,significant_speedup
cstr,16777216,adaptive_frozen_v1,e2e,4.126063528134484,4.11821860279859,4.135752303037759,True
cstr,16777216,adaptive_frozen_v1,kernel,6.187472485975885,6.178244880374626,6.19871677446041,True
cstr,16777216,adaptive_no_gradient_gate,e2e,4.13358761163214,4.126710998657503,4.137978228884773,True
cstr,16777216,adaptive_no_gradient_gate,kernel,6.207133756811574,6.197911033368481,6.213039287132964,True
cstr,16777216,fp32,e2e,11.382972063126592,11.35730421625246,11.421645899743336,True
cstr,16777216,fp32,kernel,135.40897861504934,134.8425693972744,135.97474906716167,True
cstr,16777216,fp64,e2e,2.1198498379716457,2.1148011784356218,2.122815247390861,True
cstr,16777216,fp64,kernel,2.560515942519728,2.5564106794954844,2.5619162963342754,True
kepler,1,adaptive_frozen_v1,e2e,0.2626415313120698,0.25750360766801106,0.3366322434503405,False
kepler,1,adaptive_frozen_v1,kernel,0.28408267013707167,0.28073198539657473,0.36720713841083436,False
kepler,1,adaptive_no_gradient_gate,e2e,0.26244721553517525,0.2582148713324842,0.33644040120612695,False
kepler,1,adaptive_no_gradient_gate,kernel,0.2840990761434704,0.28081861236095473,0.3675466460907207,False
kepler,1,fp32,e2e,2.3070278748840867,1.966852747874361,2.465773087681857,True
kepler,1,fp32,kernel,3.5923168282405307,3.535484794402106,4.600583401576968,True
kepler,1,fp64,e2e,0.29011829197868977,0.2853324874993155,0.36504782660442936,False
kepler,1,fp64,kernel,0.30927852336202066,0.3051359418045788,0.39931907221740714,False
kepler,8,adaptive_frozen_v1,e2e,0.2654945696823205,0.26006854536444624,0.27562042543386145,False
kepler,8,adaptive_frozen_v1,kernel,0.2771146118872809,0.27447402065728554,0.2825356120890522,False
kepler,8,adaptive_no_gradient_gate,e2e,0.2671042796766019,0.2620936058951265,0.27327113409104126,False
kepler,8,adaptive_no_gradient_gate,kernel,0.2769491119837112,0.27468178764510365,0.2825804413307012,False
kepler,8,fp32,e2e,2.4303149716124004,2.3722993695201238,2.4866612320150905,True
kepler,8,fp32,kernel,2.950790767710509,2.9322231751618886,3.014197183188773,True
kepler,8,fp64,e2e,0.29939207390053957,0.29035805027013817,0.30584577778393063,False
kepler,8,fp64,kernel,0.3062523275118624,0.3035375523884583,0.3122569654230062,False
kepler,32,adaptive_frozen_v1,e2e,0.26959007438149285,0.2675880981197985,0.27184135268831033,False
kepler,32,adaptive_frozen_v1,kernel,0.2983063766936647,0.2963071496462273,0.30019347369199323,False
kepler,32,adaptive_no_gradient_gate,e2e,0.2732467681890405,0.269723835137159,0.2759074390293219,False
kepler,32,adaptive_no_gradient_gate,kernel,0.29831542439225056,0.296314707958542,0.30033937169947916,False
kepler,32,fp32,e2e,1.9046869899831602,1.8724138752331883,2.042722665118483,True
kepler,32,fp32,kernel,3.869372654050361,3.743349625163658,3.9215183713336925,True
kepler,32,fp64,e2e,0.3019939317823732,0.29903278487961005,0.30633390031505503,False
kepler,32,fp64,kernel,0.3260965412117306,0.3243007209524168,0.3280540423780786,False
kepler,128,adaptive_frozen_v1,e2e,0.30858537347448756,0.3060678283933579,0.313995506199863,False
kepler,128,adaptive_frozen_v1,kernel,0.32846444044481526,0.32507059572279473,0.3333400934451756,False
kepler,128,adaptive_no_gradient_gate,e2e,0.3107245868896282,0.30576906778406976,0.3141314344270854,False
kepler,128,adaptive_no_gradient_gate,kernel,0.3286637870909917,0.3251303158235251,0.33343869139865817,False
kepler,128,fp32,e2e,2.553051005259381,2.2282042329790968,2.9881446359574753,True
kepler,128,fp32,kernel,4.65972335420873,4.5762180121792095,4.6867667348053175,True
kepler,128,fp64,e2e,0.3393245200999059,0.33430053740441645,0.34151953252671396,False
kepler,128,fp64,kernel,0.3605929679169777,0.35652847018164113,0.3648817987591556,False
kepler,512,adaptive_frozen_v1,e2e,0.229783085767205,0.22659366251494845,0.28552675124714044,False
kepler,512,adaptive_frozen_v1,kernel,0.24219765260780884,0.24033462902473351,0.30323349206889416,False
kepler,512,adaptive_no_gradient_gate,e2e,0.22928838571662014,0.22690489877014627,0.2848936616940474,False
kepler,512,adaptive_no_gradient_gate,kernel,0.24222023929917297,0.24033107602620635,0.303222899140309,False
kepler,512,fp32,e2e,2.4555992155400803,2.3469873044774907,2.887527521447642,True
kepler,512,fp32,kernel,4.925225394810864,4.90244316642549,6.184175282662876,True
kepler,512,fp64,e2e,0.24254892052926968,0.24057013493963325,0.3015776928821569,False
kepler,512,fp64,kernel,0.257660219055992,0.25546658261661176,0.3224085623110454,False
kepler,2048,adaptive_frozen_v1,e2e,0.4571693057956566,0.4507660834653836,0.46100719803452717,False
kepler,2048,adaptive_frozen_v1,kernel,0.4842720825736479,0.4826654325232977,0.4868600243654261,False
kepler,2048,adaptive_no_gradient_gate,e2e,0.45818326928114284,0.4547130284756183,0.4601296275969645,False
kepler,2048,adaptive_no_gradient_gate,kernel,0.4844708507370774,0.4824956651657927,0.4882586504034061,False
kepler,2048,fp32,e2e,3.9966772532621695,3.8174014562303427,4.049355447353177,True
kepler,2048,fp32,kernel,9.992628003433808,9.970368763302432,10.082043927181555,True
kepler,2048,fp64,e2e,0.484842962902373,0.4822966171312151,0.4871946008334687,False
kepler,2048,fp64,kernel,0.5125046908844466,0.5102037231649585,0.5137466342041886,False
kepler,8192,adaptive_frozen_v1,e2e,1.2608147333469173,1.2573188925861056,1.269435201529078,True
kepler,8192,adaptive_frozen_v1,kernel,1.4517756438728338,1.442258409434844,1.4688514689180114,True
