domain,n,method,kernel_median_ms,e2e_median_ms,cpu128_median_ms,kernel_mroots_s,e2e_mroots_s,correction_fraction,checksum
pv,16777216,fp64,93.3386535645,150.206588745,197.934739292,179.745639768,111.6942748,1,5136677.06995
cstr,1,adaptive_no_gradient_gate,0.0310792960227,0.037976320833,0.0309394672513,0.0321757609719,0.0263321980136,0,0.0131063517183
cstr,1,fp32,0.0290192645043,0.0375651195645,0.0309394672513,0.0344598671635,0.0266204396949,0,0.0131063517183
cstr,1,fp64,0.343348532915,0.350686728954,0.0309394672513,0.00291249242136,0.00285154788429,1,0.013106352801
cstr,1,adaptive_frozen_v1,0.0310720950365,0.0379497595131,0.0309394672513,0.0321832177336,0.0263506281154,0,0.0131063517183
cstr,8,fp32,0.029015680775,0.0376108773053,0.032439827919,0.275712986437,0.212704424177,0,22.0587643165
cstr,8,fp64,0.345594078302,0.35017567873,0.032439827919,0.0231485447879,0.0228456757163,1,22.0587650549
cstr,8,adaptive_frozen_v1,0.031077856198,0.0381699204445,0.032439827919,0.257418013297,0.209589119046,0,22.0587643165
cstr,8,adaptive_no_gradient_gate,0.0310783367604,0.0381139218807,0.032439827919,0.257414032858,0.209897056121,0,22.0587643165
cstr,32,adaptive_no_gradient_gate,0.0310789439827,0.0368387214839,0.0380706042051,1.02963601395,0.86865121022,0,120.872184039
cstr,32,fp32,0.0290186554193,0.0362287983298,0.0380706042051,1.1027388946,0.883275225103,0,120.872184039
cstr,32,fp64,0.345662355423,0.352351337671,0.0380706042051,0.0925758894423,0.0908184433511,1,120.872187463
cstr,32,adaptive_frozen_v1,0.0310779511929,0.0383011214435,0.0380706042051,1.02966890582,0.835484674964,0,120.872184039
cstr,128,adaptive_no_gradient_gate,0.366541206837,0.374276816845,0.0501396134496,0.349210396028,0.341992862606,0.0078125,443.745719511
cstr,128,fp32,0.0290303360671,0.0363238416612,0.0501396134496,4.40918078607,3.5238563474,0,443.745718847
cstr,128,fp64,0.380689650774,0.38754338026,0.0501396134496,0.336231887943,0.330285605482,1,443.745736009
cstr,128,adaptive_frozen_v1,0.366483598948,0.374443858862,0.0501396134496,0.349265288727,0.341840297205,0.0078125,443.745719511
cstr,512,adaptive_no_gradient_gate,0.378206729889,0.387353926897,0.0659599900246,1.35375697876,1.32178858777,0.015625,1903.84245127
cstr,512,fp32,0.0331303030252,0.0475494377315,0.0659599900246,15.4541297014,10.7677403651,0,1903.84244353
cstr,512,fp64,0.708606481552,0.719471037388,0.0659599900246,0.722544900914,0.711633927418,1,1903.84251692
cstr,512,adaptive_frozen_v1,0.37822586298,0.387476801872,0.0659599900246,1.35368849704,1.32136942786,0.015625,1903.84245127
cstr,2048,adaptive_no_gradient_gate,0.477061122656,0.490531206131,0.185890123248,4.2929509506,4.17506567248,0.01708984375,7443.15299725
cstr,2048,fp32,0.032799039036,0.0496288016438,0.185890123248,62.4408537625,41.2663601007,0,7443.15294444
cstr,2048,fp64,0.7094810009,0.722028791904,0.185890123248,2.88661711505,2.83645198497,1,7443.15323589
cstr,2048,adaptive_frozen_v1,0.476934731007,0.491123199463,0.185890123248,4.29408861812,4.1700331042,0.01708984375,7443.15299725
cstr,8192,adaptive_no_gradient_gate,0.47889983654,0.514400005341,0.668591819704,17.1058734519,15.9253497569,0.0157470703125,29965.1881576
cstr,8192,fp32,0.0327968001366,0.0722559988499,0.668591819704,249.780465347,113.374669652,0,29965.1880012
cstr,8192,fp64,0.710496664047,0.749756813049,0.668591819704,11.5299626508,10.9262094821,1,29965.1891466
cstr,8192,adaptive_frozen_v1,0.480023354292,0.514956831932,0.668591819704,17.0658363322,15.9081295596,0.0157470703125,29965.1881576
cstr,32768,adaptive_no_gradient_gate,0.632672011852,0.75497597456,2.76423990726,51.7930292255,43.4027056545,0.0164794921875,121389.677961
cstr,32768,fp32,0.0329696014524,0.152896001935,2.76423990726,993.885232351,214.315610515,0,121389.677309
cstr,32768,fp64,0.720819175243,0.821151971817,2.76423990726,45.4593899905,39.9049154415,1,121389.682075
cstr,32768,adaptive_frozen_v1,0.633091211319,0.755327999592,2.76423990726,51.7587346249,43.3824775696,0.0164794921875,121389.677961
cstr,131072,adaptive_no_gradient_gate,1.55126404762,2.01193594933,5.77417016029,84.4936748201,65.1472031423,0.01621,371398.222921
cstr,131072,fp32,0.0667520016432,0.531615972519,5.77417016029,1963.56658637,246.553916315,0,371398.220954
cstr,131072,fp64,2.79071998596,3.2533121109,5.77417016029,46.9670911662,40.2887874056,1,371398.235481
cstr,131072,adaptive_frozen_v1,1.55049598217,2.00729608536,5.77417016029,84.5355302479,65.2977908721,0.01621,371398.222921
cstr,524288,adaptive_no_gradient_gate,4.49983978271,6.26076793671,23.0164723471,116.51259274,83.7418037692,0.01621,371398.222921
cstr,524288,fp32,0.178880006075,1.96044802666,23.0164723471,2930.94802211,267.432746429,0,371398.220954
cstr,524288,fp64,9.33168029785,11.0966720581,23.0164723471,56.1836650277,47.2473185884,1,371398.235481
cstr,524288,adaptive_frozen_v1,4.47039985657,6.27343988419,23.0164723471,117.279889232,83.5726506795,0.01621,371398.222921
cstr,2097152,adaptive_no_gradient_gate,14.7940483093,21.9891834259,93.1021869183,141.756465583,95.3719817321,0.01621,371398.222921
cstr,2097152,fp32,0.635104000568,7.79820823669,93.1021869183,3302.0607619,268.927417215,0,371398.220954
cstr,2097152,fp64,34.7568626404,41.8699531555,93.1021869183,60.3377819713,50.0872783929,1,371398.235481
cstr,2097152,adaptive_frozen_v1,14.8161916733,22.0123844147,93.1021869183,141.544605135,95.2714599424,0.01621,371398.222921
cstr,8388608,adaptive_no_gradient_gate,56.9914245605,85.4396820068,364.132689312,147.190705701,98.1816388236,0.01621,371398.222921
cstr,8388608,fp32,2.47011208534,31.0245761871,364.132689312,3396.04346288,270.385901467,0,371398.220954
cstr,8388608,fp64,137.374649048,165.983459473,364.132689312,61.0637265183,50.5388189079,1,371398.235481
cstr,8388608,adaptive_frozen_v1,57.173248291,85.4587860107,364.132689312,146.722606302,98.1596906718,0.01621,371398.222921
cstr,16777216,adaptive_no_gradient_gate,113.516029358,170.315643311,704.85426113,147.796008149,98.5066061689,0.01621,371398.222921
cstr,16777216,fp32,5.2063999176,61.7790412903,704.85426113,3222.42168591,271.56808603,0,371398.220954
cstr,16777216,fp64,275.314971924,332.21862793,704.85426113,60.9382623937,50.5005276331,1,371398.235481
cstr,16777216,adaptive_frozen_v1,113.814849854,170.471847534,704.85426113,147.407970239,98.4163440631,0.01621,371398.222921
peng_robinson,1,fp32,0.00409772759303,0.00612576026469,0.0317301601171,0.244037695844,0.163245043356,0,0.0671927034855
peng_robinson,1,fp64,0.00819452758878,0.0123974392191,0.0317301601171,0.122032660109,0.080661819133,1,0.0671926921223
peng_robinson,1,adaptive_frozen_v1,0.00466700782999,0.0102854399011,0.0317301601171,0.214270049768,0.0972248158193,0,0.0671927034855
peng_robinson,1,adaptive_no_gradient_gate,0.00468559982255,0.0102508794516,0.0317301601171,0.213419847591,0.0975526055807,0,0.0671927034855
peng_robinson,8,fp64,0.0102456957102,0.013666880317,0.0349804759026,0.78081569337,0.585356702804,1,8.16452053855
