comparison,domain,n,ratio,ci95_low,ci95_high,bootstrap_design
strict_omp96_over_pgo_omp96,kepler,512,0.9983138963041642,0.9891128468415998,1.0088854937267835,independent_sequential_modes
strict_omp96_over_pgo_omp96,kepler,2048,1.0050579862003064,0.9843617920535191,1.0140817807888203,independent_sequential_modes
strict_omp96_over_pgo_omp96,kepler,8192,1.0102355318577338,0.9941548623601071,1.0318265166427285,independent_sequential_modes
strict_omp96_over_pgo_omp96,kepler,32768,1.0014358236970171,0.9928108432745654,1.0127143617477863,independent_sequential_modes
strict_omp96_over_pgo_omp96,kepler,131072,0.9835649457088783,0.9761432879453853,0.9983466122027748,independent_sequential_modes
strict_omp96_over_pgo_omp96,kepler,524288,1.0065352831912393,0.9979203178553867,1.0098297363505007,independent_sequential_modes
strict_omp96_over_pgo_omp96,kepler,2097152,0.9925869952132593,0.975213303822209,1.0337362538069297,independent_sequential_modes
strict_omp96_over_pgo_omp96,kepler,8388608,1.0018283797715883,1.001460849045118,1.0023562144453595,independent_sequential_modes
strict_omp96_over_pgo_omp96,kepler,16777216,1.001421956075251,1.0006901830623094,1.0020286536110046,independent_sequential_modes
strict_omp96_over_pgo_omp96,peng_robinson,1,1.0153558619999508,1.0073882341109006,1.0228312811276374,independent_sequential_modes
strict_omp96_over_pgo_omp96,peng_robinson,8,1.0118080625718358,1.0041692672538547,1.018179535465604,independent_sequential_modes
strict_omp96_over_pgo_omp96,peng_robinson,32,1.00732243714945,0.9987051792842533,1.0188783037061355,independent_sequential_modes
strict_omp96_over_pgo_omp96,peng_robinson,128,0.9948787061976422,0.9894662234840571,1.0041346721806939,independent_sequential_modes
strict_omp96_over_pgo_omp96,peng_robinson,512,1.0076242905529,0.9979667909177773,1.0128252106995466,independent_sequential_modes
