cpu_mode,domain,n,cpu_over_gpu_e2e,ci95_low,ci95_high,bootstrap_design
strict_omp96,pv,524288,1.1543201308607929,1.1461125666891792,1.1704579763914489,independent
strict_omp96,pv,2097152,1.2156944294098524,1.2111489302856304,1.2226215871697752,independent
strict_omp96,pv,8388608,1.2617002565580162,1.2561898226087533,1.2642656648842971,independent
strict_omp96,pv,16777216,1.2539072183057807,1.2528312936766526,1.2555606071674545,independent
pgo_omp96,bem,1,0.08931496833657915,0.08901931636009756,0.08997764044986578,independent
pgo_omp96,bem,8,0.08832159363975375,0.0880096373743086,0.08857004387997774,independent
pgo_omp96,bem,32,0.0810572956216838,0.08073496925960454,0.08142406782449911,independent
pgo_omp96,bem,128,0.08272446674075577,0.08245802264670705,0.08315505813178559,independent
pgo_omp96,bem,512,0.06159535812190094,0.061304867167190386,0.061849567948379015,independent
pgo_omp96,bem,2048,0.11805648668169601,0.11737158897188418,0.11881144533615239,independent
pgo_omp96,bem,8192,0.3561286223071409,0.3523365760903003,0.3594950079677208,independent
pgo_omp96,bem,32768,1.1542016069198964,1.1454226641228773,1.1608760351757925,independent
pgo_omp96,bem,131072,1.1353208937442312,1.1299811694349517,1.1408693688447544,independent
pgo_omp96,bem,524288,1.337227348670979,1.3256116630582264,1.3460990806736755,independent
pgo_omp96,bem,2097152,1.4092178217834206,1.3918945672334075,1.4246313774653105,independent
pgo_omp96,bem,8388608,1.4141097680223549,1.412923137411647,1.41459372600016,independent
pgo_omp96,bem,16777216,1.4157832184595083,1.415033681425791,1.4163053758836874,independent
pgo_omp96,cstr,1,0.05594038520682846,0.05539592627634924,0.05679805990201163,independent
pgo_omp96,cstr,8,0.05406825650200743,0.05374575078921555,0.05425287320437443,independent
pgo_omp96,cstr,32,0.05604111908336039,0.05569692915409875,0.05644643180440564,independent
pgo_omp96,cstr,128,0.0938373728960895,0.09316941806761403,0.09460081499046182,independent
pgo_omp96,cstr,512,0.12895289382949288,0.09710738471017191,0.14945622002672296,independent
pgo_omp96,cstr,2048,0.12770971688422897,0.12155321667881636,0.1327731372203327,independent
pgo_omp96,cstr,8192,0.49593454279415045,0.4756062715363337,0.5121088704407554,independent
pgo_omp96,cstr,32768,1.7095552032725205,1.64075728152481,1.7832045076505778,independent
pgo_omp96,cstr,131072,1.9587964966109344,1.9424079283059659,1.9812441213299046,independent
pgo_omp96,cstr,524288,2.3386407729624463,2.3297379106171334,2.3445910221598445,independent
pgo_omp96,cstr,2097152,2.4616458634414298,2.4461742230630095,2.483114190768464,independent
pgo_omp96,cstr,8388608,2.51299533910346,2.5090029671305136,2.5141727331014976,independent
pgo_omp96,cstr,16777216,2.5148269086708277,2.513621016308109,2.516550654910415,independent
pgo_omp96,kepler,1,0.18825080268060937,0.1874545619453068,0.18941264520743775,independent
pgo_omp96,kepler,8,0.18742739028388378,0.18668185099820866,0.18829518156064756,independent
pgo_omp96,kepler,32,0.15556567676385963,0.15491236269725794,0.16013763882250692,independent
pgo_omp96,kepler,128,0.1484564925181605,0.1477873708931551,0.14974066688697632,independent
pgo_omp96,kepler,512,0.11377423542472567,0.11333374960938825,0.1144474962361586,independent
pgo_omp96,kepler,2048,0.1864402034629835,0.18474040476382433,0.189788779008473,independent
pgo_omp96,kepler,8192,0.458352992169527,0.4507042253525147,0.46440978024323576,independent
pgo_omp96,kepler,32768,1.3909039434131747,1.3736524914926218,1.4062244403110515,independent
pgo_omp96,kepler,131072,1.4285040555351851,1.415828789774814,1.4393371176136425,independent
pgo_omp96,kepler,524288,1.6408271203158995,1.6363218176349277,1.652725462560567,independent
pgo_omp96,kepler,2097152,1.743531589708326,1.7128593731385457,1.7662017714588008,independent
pgo_omp96,kepler,8388608,1.7622111093808293,1.7545395272627742,1.7645214752466372,independent
pgo_omp96,kepler,16777216,1.7571983286405957,1.755846599805726,1.7582785933661045,independent
pgo_omp96,peng_robinson,1,1.5164473316321057,1.5093548510970904,1.5274538104842186,independent
pgo_omp96,peng_robinson,8,1.3874844323226934,1.3783616764742135,1.4817711517568106,independent
