index,near_knot,multi_root,root_abs,gradient_left_rel,gradient_right_rel,residual,knot_distance_rad,status
107,0,1,7.0219385861491901e-12,4.8897739461913137e-06,4.6809301728972994e-06,3.4168728496211939e-13,0,0
108,0,1,1.7467316482111528e-10,3.5781920446818863e-06,3.4505438559908606e-06,1.1325855665478045e-11,0,0
109,0,0,0,2.0098316994440924e-08,2.0000019822184286e-08,8.9530566184014614e-17,0,0
110,0,1,4.9297943505166586e-10,1.5303070897938747e-07,2.1065711034089273e-07,8.6529300571036659e-11,0,0
111,0,1,4.2406078648582479e-12,1.7279868946860591e-07,3.5223422711501988e-07,8.0361367802871691e-13,0,0
112,0,1,1.4424017535930034e-12,1.3853163928980004e-07,1.2746387444559799e-07,7.3003398743692935e-13,0,0
113,0,0,1.9539925233402755e-14,1.8154487981890623e-08,1.6279726836231205e-08,2.6161599989598804e-14,0,0
114,1,0,5.5622173533720343e-12,2.3581892713665675e-08,2.1708813648275554e-08,8.8639763350878628e-12,0,0
115,0,1,1.8678392166293634e-11,3.1391459087350798e-07,3.8678674580168718e-07,2.9593771464176991e-12,0,0
116,0,1,4.1566750041965861e-13,1.3925948441232201e-07,1.2923689211492102e-07,2.0947959428458011e-13,0,0
117,0,1,7.2817307739114767e-12,1.2612900118947305e-07,1.1193529311634201e-07,3.7764136160194646e-12,0,0
118,0,1,2.8799185258776561e-12,7.3171373920667709e-08,1.15146689433544e-07,1.5060805106120403e-12,0,0
119,0,1,4.8849813083506888e-15,1.0066481692442947e-07,1.3310365431515003e-07,2.4140495556702063e-15,0,0
120,0,1,9.5332630678512942e-12,6.6543253372896754e-07,6.2766295506418225e-07,1.8324173857115508e-12,0,0
121,0,1,1.6334591457223269e-09,1.7846117527573689e-06,9.7039619944352396e-07,2.0537752827857307e-10,0,0
122,0,1,1.1761498441842377e-09,1.4675700334286899e-06,9.2266178072693493e-07,6.5897205351657402e-11,0,0
123,0,1,7.5504047458707646e-12,1.769342479245063e-07,1.6507767480063169e-07,3.4927156607185357e-12,0,0
124,0,0,6.4172223090963598e-11,6.8858148135527812e-09,4.7905732736709455e-10,6.2496573222295894e-11,0,0
125,0,1,3.9831693499081666e-11,1.8447542841861699e-06,1.5933259950206268e-06,1.7927877603181772e-12,0,0
126,0,1,8.6473050942004193e-12,7.4744315079834154e-07,7.0423971664149451e-07,1.5492184180107926e-12,0,0
127,0,1,1.3322676295501878e-14,1.4414691618222896e-07,1.3304353134231212e-07,6.6029688585353341e-15,0,0
128,0,1,3.2995828291859652e-13,8.9537820455502973e-07,9.5702355422580607e-07,5.2961951690813546e-14,0,0
129,0,0,0,9.9417270343344967e-09,8.4817513215787909e-09,5.6605703763510938e-17,0,0
130,0,0,9.681144774731365e-14,7.319622406839413e-09,6.2725854361121143e-09,1.2246214683774064e-13,0,0
131,0,1,2.6644020323374207e-11,1.7565557063851506e-07,2.0980465654131842e-07,1.2512129139909521e-11,0,0
132,0,1,2.0682096035784525e-09,4.5693980105084345e-07,2.2714332593983914e-07,3.0184742347400971e-10,0,0
133,0,0,2.1722579290894828e-10,2.0829396805734448e-08,2.0884961001932859e-08,3.1773170706124748e-10,0,0
134,0,1,1.1857181902996672e-11,5.841878255740186e-07,5.0202435053196279e-07,2.3723055120347883e-12,0,0
135,0,1,1.4486092325682876e-09,1.0202187965724907e-06,6.1803911129473067e-07,2.1830025971505696e-10,0,0
136,0,1,2.5014212923224477e-11,1.593269046364847e-07,1.4500375458779743e-07,1.2034013409538473e-11,0,0
137,1,0,2.3789858971667854e-12,9.9969341909593368e-09,5.3262763609170871e-09,3.020432900011801e-12,0,0
138,0,1,4.7282178172736167e-12,1.7982550342996026e-07,1.6473810609256158e-07,2.1805078847041327e-12,0,0
139,0,1,2.9165443393708301e-09,1.4966502821908108e-06,3.9058731673788413e-07,4.6347583675367945e-10,0,0
140,0,0,0,2.1438946247447411e-08,1.9236852204565774e-08,1.0063961862261462e-16,0,0
141,0,1,1.4208310084029563e-09,1.4162693962196238e-06,2.0321268313474106e-06,4.5744368283870476e-11,0,0
142,0,0,5.3235194030776256e-11,6.4798902595898578e-09,1.7280729427631324e-09,6.7237775787155896e-11,0,0
143,0,1,6.7931882341554228e-11,3.0836280815529244e-07,4.448937219960333e-07,1.2587068470755367e-11,0,0
144,0,1,1.5065726444163374e-11,6.936395453697122e-07,7.2311514804968495e-07,2.8055659446685958e-12,0,0
145,0,1,7.9305451095024182e-12,8.0315215843088945e-07,8.3391732450422498e-07,1.3841932588127736e-12,0,0
146,0,1,1.6732464303004235e-09,1.1399772223874321e-06,6.2726956076385476e-07,2.3900260550702297e-10,0,0
147,0,1,1.865174681370263e-13,1.4845636863838721e-07,1.3406092003626632e-07,9.2485445459175131e-14,0,0
148,0,1,8.6215479200291156e-12,6.6328096287961729e-07,6.2141174953959995e-07,1.6763117718771728e-12,0,0
149,0,1,2.5190383112771997e-10,2.9979106538763606e-07,1.2853442546059001e-07,4.5651106534356463e-11,0,0
150,0,1,1.9106494164589094e-10,2.1469521022584306e-06,2.3619016783922209e-06,1.640757235565768e-11,0,0
151,0,1,8.6894935691361752e-10,1.5059636905459475e-06,1.2894580721796161e-06,4.2678965648065073e-11,0,0
152,0,0,7.5495165674510645e-14,2.2832441406737529e-08,1.9977399420436432e-08,1.2048766770339306e-13,0,0
153,0,1,3.8919978351259488e-12,8.0358928399479626e-07,7.5716185327589931e-07,6.6446843776457047e-13,0,0
154,0,1,3.0965683350814288e-09,1.5022809365874598e-06,3.7398083712701575e-07,4.9267023012380578e-10,0,0
155,0,1,5.3894666507403599e-12,1.2076123619711162e-07,1.1254133965188857e-07,2.8040524881105035e-12,0,0
156,0,0,0,2.5497813114526141e-08,2.5302060214829843e-08,6.4208482634739688e-17,0,0
157,0,1,1.595967802359155e-11,6.0433796316179244e-07,6.3877740345661969e-07,3.1624215768728995e-12,0,0
158,0,0,6.6635585938001896e-12,2.0212204238492812e-08,7.3216596292796269e-10,6.4989772193404757e-12,0,0
159,0,1,2.6445956535781079e-11,1.5888727996500396e-07,1.4427059985352644e-07,1.2711521272260262e-11,0,0
160,0,1,2.5842439299594844e-11,2.3209578819940062e-06,2.7126211492918795e-06,1.5780151086326842e-12,0,0
161,0,1,4.0718539651152241e-12,2.4098077157249932e-07,3.1914940708686388e-07,6.5073951383776565e-13,0,0
162,0,1,2.8053390721538563e-09,2.1666521129254499e-06,6.8038917756382388e-07,3.4610443577310113e-10,0,0
163,0,1,3.7299496824516609e-11,1.6369930023761634e-07,1.5474413467267202e-07,1.771795262544053e-11,0,0
164,0,1,4.5328185649395891e-12,1.2799069025251017e-07,1.143547648924207e-07,2.3621475634480368e-12,0,0
165,0,1,1.2878804689364642e-08,6.428031634084386e-06,2.7173329509551051e-06,4.6992862111776172e-10,0,0
166,0,1,1.3248069308247068e-11,7.2158502539157126e-07,7.5754950818634425e-07,2.4051070502080153e-12,0,0
167,0,1,1.9355184122105129e-11,4.6347757661265696e-08,2.1644406802218402e-07,3.6323102546364488e-12,0,0
168,0,1,5.6380899948749175e-10,1.2299669128066548e-06,9.7651091248104872e-07,3.4065314622157404e-11,0,0
169,0,1,4.7324899554723743e-10,3.564169183823889e-07,6.6378680448008111e-07,5.2144586695759796e-11,0,0
170,0,1,9.1482377229112899e-13,1.2109525612843051e-07,1.0696844273766507e-07,4.8168802489692626e-13,0,0
171,0,1,2.8790303474579559e-12,1.2328515394813947e-07,1.0891109941994042e-07,1.5056354419662973e-12,0,0
172,0,1,6.1569167542074865e-09,2.8065913713672757e-06,7.6098352301628953e-08,3.2060241680420764e-10,0,0
173,0,1,2.4605073534189614e-10,2.119192816064813e-06,1.5216823126589135e-06,1.0932087187293148e-11,0,0
174,0,1,1.0307443787382908e-10,2.0186877775076771e-07,8.8645445098006632e-08,1.8990113432281688e-11,0,0
175,0,1,5.0359716396997101e-13,1.4072328401091252e-07,1.2763600601517585e-07,2.5394725019761097e-13,0,0
176,0,1,1.1980638703334989e-10,1.1103373264202616e-06,1.0959362723955903e-06,1.57044851056978e-11,0,0
177,0,1,6.4148686362841545e-12,1.7983642415221275e-07,1.6557290875127824e-07,2.9640089183617276e-12,0,0
178,0,1,1.0524914273446484e-12,1.2103443558790232e-07,1.0841056446020876e-07,5.5375030228630279e-13,0,0
179,0,1,5.0546233865134127e-12,1.2369760263777863e-07,1.1346289479581032e-07,2.6313671950675534e-12,0,0
180,0,1,2.2377655284344655e-12,6.3957739159166821e-07,8.5705566857769959e-07,2.3372810395570842e-13,0,0
181,0,1,7.6910700030907719e-10,1.1095912207690568e-06,8.4100494403168646e-07,1.1977821206831845e-10,0,0
182,0,1,1.8784973576657649e-13,8.8967566876901578e-07,9.5835527606340357e-07,2.989213363888782e-14,0,0
183,0,1,3.0280915552793886e-09,1.3944236035933268e-06,5.8227028748243462e-06,6.0529923886906062e-11,0,0
184,0,1,8.1724849110287323e-11,3.4347834978139747e-07,3.7516797320940798e-07,1.2783166344895301e-11,0,0
185,0,1,6.2585492344169324e-12,1.5536943441738311e-07,1.8553838033620152e-07,3.0557669290103948e-12,0,0
186,0,0,5.4671822624641209e-12,1.578682203346071e-07,1.4392857334029374e-07,2.4133639038930108e-12,0,0
187,0,1,2.0512924692184242e-10,2.9422268231570797e-06,2.9850954712970038e-06,1.3755229118789802e-11,0,0
188,1,0,6.0662586065518553e-13,1.4843012023087117e-08,1.0016947904117491e-08,5.2589738698243163e-13,0,0
189,0,1,8.3760687275002965e-10,3.9058069146710819e-07,3.3762424172501849e-07,1.1493044166027701e-10,0,0
190,0,1,6.652456363553938e-13,1.1847633041047315e-07,1.078746450766763e-07,3.5053676891501031e-13,0,0
191,0,1,1.9895858294205482e-09,5.7480549224691572e-07,2.8013930642242961e-07,2.8581492323514661e-10,0,0
192,1,0,0,1.4506219855500039e-08,9.6171066938258183e-09,4.5493947294275003e-18,0,0
193,0,0,3.3704017354807547e-10,6.6611943207563823e-10,4.5392017359935764e-09,3.5942993026338854e-10,0,0
194,0,1,1.0361045355011811e-11,6.7993121857349128e-07,6.3742696557605124e-07,1.9592834629733825e-12,0,0
195,0,1,5.6425975003548956e-12,7.753878250881071e-07,7.2628477660594744e-07,9.8025382511364482e-13,0,0
196,0,1,1.5286136800796157e-09,5.2885992095294289e-07,3.0105786077368401e-07,2.147113413131905e-10,0,0
