domain,n,method,timing_kind,speedup_vs_brent,ci95_low,ci95_high,faster_than_brent
cstr,8388608,bracketed_secant,kernel,1.1988902880172658,1.197867189348178,1.2007561945471357,True
cstr,8388608,safeguarded_halley,e2e,1.1534306673850507,1.152371106482337,1.1560113434833255,True
cstr,8388608,safeguarded_halley,kernel,1.190240615557489,1.188774194405255,1.192133891475415,True
cstr,8388608,safeguarded_newton,e2e,1.1668242534325157,1.1660925437548244,1.169383924662221,True
cstr,8388608,safeguarded_newton,kernel,1.2070763260176445,1.2055840194125043,1.2089672513340395,True
cstr,16777216,bracketed_secant,e2e,1.1653138099323463,1.1637876024597025,1.1656241196698813,True
cstr,16777216,bracketed_secant,kernel,1.2048481130513167,1.2043274399631132,1.2052512485664084,True
cstr,16777216,safeguarded_halley,e2e,1.1573462768454097,1.1567770917049387,1.1579154263685902,True
cstr,16777216,safeguarded_halley,kernel,1.1948593576675395,1.194041162916651,1.195445550491557,True
cstr,16777216,safeguarded_newton,e2e,1.1713308583646114,1.1702014391351776,1.1717734099853068,True
cstr,16777216,safeguarded_newton,kernel,1.2135149924717339,1.2125732216087102,1.2137959348474858,True
kepler,1,bracketed_secant,e2e,0.5876870019770832,0.5861299657819895,0.5973889288135624,False
kepler,1,bracketed_secant,kernel,0.6148478243233346,0.6134532407271238,0.6162854832227431,False
kepler,1,mikkola_kepler,e2e,3.833609181577023,3.819219419238805,4.179955674937674,True
kepler,1,mikkola_kepler,kernel,4.811736230374177,4.800781713185223,4.822993823814413,True
kepler,1,safeguarded_halley,e2e,2.0853816209406246,2.078898812010357,2.120895876902089,True
kepler,1,safeguarded_halley,kernel,2.1875607584657804,2.1825814734441207,2.19267601772169,True
kepler,1,safeguarded_newton,e2e,1.9458166800239016,1.9377556629689352,1.9825967672789753,True
kepler,1,safeguarded_newton,kernel,2.1855800128682468,2.180602793505344,2.190688877165108,True
kepler,8,bracketed_secant,e2e,1.000273707884474,1.0000182721593833,1.0007084631890242,True
kepler,8,bracketed_secant,kernel,1.0000041399590602,0.9993157966739055,1.0008456665135905,False
kepler,8,mikkola_kepler,e2e,6.3669432158893455,6.330460700811389,6.872488360068269,True
kepler,8,mikkola_kepler,kernel,7.813255737059495,7.812473088069465,7.819844130035855,True
kepler,8,safeguarded_halley,e2e,3.5317648271691735,3.359534133135144,3.541036131942141,True
kepler,8,safeguarded_halley,kernel,3.5549127604849797,3.554814423192171,3.557930470766555,True
kepler,8,safeguarded_newton,e2e,3.287010684559328,3.282317736717461,3.2897734301507113,True
kepler,8,safeguarded_newton,kernel,3.3057315293771645,3.3026867177668255,3.3092536601540745,True
kepler,32,bracketed_secant,e2e,0.8369968226489681,0.801385636191112,0.8848581969680203,False
kepler,32,bracketed_secant,kernel,0.8322642433167751,0.8319494634247622,0.8329299449078494,False
kepler,32,mikkola_kepler,e2e,4.659809663633712,4.654292696922133,4.666296113040756,True
kepler,32,mikkola_kepler,kernel,8.60977140994322,8.60911334321033,8.616385787499885,True
kepler,32,safeguarded_halley,e2e,2.7028496066176673,2.699985043369552,2.7037599265175825,True
kepler,32,safeguarded_halley,kernel,3.0753163861188777,3.0751240654870045,3.077647678287848,True
kepler,32,safeguarded_newton,e2e,2.677259379540767,2.661569454699879,2.6822780250420766,True
