sample_id,fold_side,relative_fold_offset,fold_x,fold_Da,root_spacing_min,Fx,condition,raw_gradient,regularized_gradient_lambda_1e-4,regularization_relative_bias,root_count,selected_branch
cstrfold_0001665,upper,-0.000415997686222850955870733,0.924558364449965199272445973862,0.00000110458746892246366136314028218,+inf,0.999976290967606573111829167827,1.00002370959452497151573729163,1.00004521109329335779932443852,1.00004520109236712792945946569,0.0000000100004740975024649807403511283,1,single
cstrfold_0001666,upper,0.001939734667851927644718243,0.800315886270187119717115792373,0.000251638653204929859994461049618,0.0223379912231617115937786218061,-0.0561596883798982488753245949217,17.8063666100743384828047659494,-11758.1236546295827325468758644,-11758.0863736540926431847824937,0.00000317065686542686968752529288082,3,middle_triple
cstrfold_0001667,upper,0.0002996372449421181353177583,0.820425248772139957494185409582,0.0000000666044896110952929183925764226,0.00764881673484628710002433007586,0.0229275664043590991683011315501,43.6156189611940319868104288614,94841935.6194048039948552078345,94840131.454513163709166897543,0.0000190228602975828638910041711011,3,high_triple
cstrfold_0001668,lower,-0.0007741643654936644254831705,0.0549731626685786052677421395409,0.0199325421238523837164171934979,0.00439104170810646876581331112441,0.0362780917675494098480489655771,27.5648456486483533498881156355,69.2252970167466496404580033263,69.2247710325959939045157808958,0.00000759814942402475204840855000279,3,low_triple
cstrfold_0001669,lower,-3.441929626867175733550706e-8,0.0542972670322312654562259976585,0.018668350695512428074539834782,+inf,0.99067637888189346917085068619,1.00941136915834154050299960164,0.10583264921619966320185371996,0.105832648137858839339079399554,0.0000000101891130180431514813547454131,1,single
cstrfold_0001670,lower,0.0007699668242258033453782577,0.014219013667303722331871210235,0.0050223139867894392740779204898,+inf,0.999998277262805935513252688117,1.00000172274016189303934912613,0.0000646052487171596540770308236165,0.000064605248071104947402953550179,0.0000000100000343548322280996058421021,1,single
cstrfold_0001671,upper,0.000005621527293842312409271596,0.92070540720034168708388348726,0.00000253001023361695079341326033638,0.000525015649787642887535863521771,-0.00312956978464131342546932951818,319.532737345434239297157022341,-9248426.46548975500502589120404,-9238993.34516636329710041613384,0.00101997030074155132136947060262,3,middle_triple
cstrfold_0001672,upper,-0.001147696065554019059048457,0.799633102262601072139718060015,0.000337943869929359065846504630544,+inf,0.992518188501857686894505883881,1.00753821097166554290280800489,1.01442000238647978632138297104,1.01441999208876518679601017417,0.0000000101513323626302944630654210283,1,single
cstrfold_0001673,upper,-0.000004649325181576548097730163,0.832498939013858910972573162948,0.0000000238742790712218701035920981166,+inf,0.999998237709369765362437532234,1.00000176229373590837607499377,1.00000347684059145863166503127,1.00000346684052154419848269529,0.0000000100000351459050710402905096292,1,single
cstrfold_0001674,lower,0.0000005250292742438565375630337,0.0514933416518328979729720115433,0.018666176336943139669806804291,+inf,0.999965433698501273787776608816,1.00003456749636922776707405569,0.000136787946561031697428082293486,0.000136787945193057675527033930004,0.0000000100006912618626758924033461702,1,single
cstrfold_0001675,lower,0.002056686675811179894235086,0.0547193412736539832822222557698,0.0187505554881264149151784437577,+inf,0.988757010260650762921677225414,1.01137083188556652667604928113,0.132896195880519882264788916868,0.132896194521163302109030887287,0.0000000102287094912625297708068501085,1,single
cstrfold_0001676,lower,-0.000006243800665495244208400906,0.0142439963431494965581315663799,0.00502763604277497968871011827791,+inf,0.999997871574497626423109775393,1.00000212843003257833824778282,0.0000816465408348933170323625278574,0.0000816465400184244412654627254122,0.0000000100000424686451033360823667302,1,single
cstrfold_0001677,upper,-0.001381653950908363218776601,0.921154913238566430676864254127,0.00000251700493146593114343491667097,+inf,0.999949301545942425592801099625,1.00005070102452113676400458915,1.00009637569054284947928974718,1.00009636568856504867801770103,0.0000000100010139461760806582965202254,1,single
cstrfold_0001678,upper,0.0002595128574379997988590277,0.797402992781098297257007883327,0.000310022710319752312437593872979,0.00828980952286795464256423502113,0.0201311259388147885600432642977,49.6743204050947670349825762199,25482.7910296327233033424661723,25482.1622475685965631784130754,0.0000246747722176726821780942440093,3,high_triple
cstrfold_0001679,upper,1.373369783918799011111998e-8,0.828024613175939045567888398564,0.0000000192554420102060192380746707206,+inf,0.999998504581748396426085892221,1.00000149542048788266531576664,1.00000295233114736470530291141,1.00000294233108803287430159539,0.0000000100000298084315233081341463115,1,single
cstrfold_0001680,lower,-0.0003318287729495317401103903,0.0525701119171698261212074904497,0.0190649131765333488092413769336,0.00274817069282259328829489692656,0.0238972942468716232182590899629,41.8457416002612616462630301516,106.677336476008555429614554021,106.675468518052906281305778626,0.0000175103542828822596537266916794,3,low_triple
cstrfold_0001681,lower,-0.00001540685235569802136089749,0.0518806943826526241975340221192,0.0179144850264787452175054645554,0.000613972415934938772858701602032,-0.00494308743969626841439098629005,202.302713071457567381045387904,-558.598510321232093637100898849,-558.369989654375949893478292655,0.000409096448761971876522361282367,3,middle_triple
cstrfold_0001682,lower,0.000006895699873356685459859194,0.0148065160277779202668932310111,0.0052166373334548446733270015698,+inf,0.999995878344970610124886441039,1.00000412167201750007553825866,0.000158669250922292223885755963061,0.000158669249335586650850833951923,0.0000000100000823336085841247339807196,1,single
cstrfold_0001683,upper,0.000001645071638522992486317902,0.922487840913288438600936640643,0.00000152416675647262958398791011841,0.000277470350338497507585169967358,0.00169492609847020235550681492003,589.996225146674439368922012152,27633393.6436205163556694438316,27537536.7049585433997835602646,0.00346888043858133298470024824971,3,high_triple
cstrfold_0001684,upper,-0.001140763554969015250951583,0.792044102163322352746380091342,0.000293513272133229391515610615899,+inf,0.993056445241279366752473611538,1.00699210482142692566075192459,1.01341470983950505345430705614,1.01341469956314456800257046905,0.0000000101403308889005651507311160861,1,single
