domain,n,method,kernel_median_ms,e2e_median_ms,cpu128_median_ms,kernel_mroots_s,e2e_mroots_s,correction_fraction,checksum
bem,524288,adaptive_no_gradient_gate_v3,5.36800003052,7.2260799408,nan,97.6691499664,72.5549681564,0.49603,293373.188241
bem,2097152,fp32,0.703487992287,7.86793613434,nan,2981.0771797,266.54410562,0,293990.876563
bem,2097152,fp64,19.757183075,26.9466552734,nan,106.146305981,77.8260596248,1,293373.189708
bem,2097152,adaptive_frozen_v3,20.2153606415,27.3824634552,nan,103.740518767,76.5874116268,0.49603,293373.188241
bem,2097152,adaptive_no_gradient_gate_v3,20.2061767578,27.3636798859,nan,103.787669738,76.6399844154,0.49603,293373.188241
bem,8388608,fp32,2.76515197754,31.1127681732,nan,3033.68786531,269.619467908,0,293990.876563
bem,8388608,fp64,78.2307815552,106.683326721,nan,107.228993923,78.6309187932,1,293373.189708
bem,8388608,adaptive_frozen_v3,79.9035491943,108.332893372,nan,104.9841726,77.4336190877,0.49603,293373.188241
bem,8388608,adaptive_no_gradient_gate_v3,79.9137954712,108.352157593,nan,104.970711884,77.4198519565,0.49603,293373.188241
bem,16777216,fp32,5.52182388306,62.1912956238,nan,3038.34681354,269.767912563,0,293990.876563
bem,16777216,fp64,156.240356445,212.974014282,nan,107.380809809,78.7758828538,1,293373.189708
bem,16777216,adaptive_frozen_v3,159.502426147,216.458847046,nan,105.18470725,77.5076474303,0.49603,293373.188241
bem,16777216,adaptive_no_gradient_gate_v3,159.567611694,216.274841309,nan,105.141737862,77.573590615,0.49603,293373.188241
kepler,1,fp64,0.0924088284373,0.0999721586704,nan,0.0108214768752,0.0100027849083,1,0.0595829657091
kepler,1,adaptive_frozen_v3,0.101875007153,0.110458239913,nan,0.00981595023108,0.00905319513318,1,0.0595829657091
kepler,1,adaptive_no_gradient_gate_v3,0.101886175573,0.110453754663,nan,0.00981487423958,0.00905356276069,1,0.0595829657091
kepler,1,fp32,0.00819971226156,0.0129078403115,nan,0.121955498937,0.0774722940372,0,0.0595837049186
kepler,8,adaptive_frozen_v3,0.106747679412,0.112523205578,nan,0.0749430811427,0.0710964459187,1,71.9263897774
